League,Date,Get,Pay,Value,Confidence,Patch,Hardcore,Standard
Hardcore Kalandra,2022-08-19,Blacksmith's Whetstone,Chaos Orb,1.0,Low,3.19,Yes,No
Hardcore Kalandra,2022-08-20,Blacksmith's Whetstone,Chaos Orb,0.0925,Medium,3.19,Yes,No
Hardcore Kalandra,2022-08-21,Blacksmith's Whetstone,Chaos Orb,0.07143,High,3.19,Yes,No
Hardcore Kalandra,2022-08-22,Blacksmith's Whetstone,Chaos Orb,0.03975,High,3.19,Yes,No
Hardcore Kalandra,2022-08-23,Blacksmith's Whetstone,Chaos Orb,0.03048,High,3.19,Yes,No
Hardcore Kalandra,2022-08-24,Blacksmith's Whetstone,Chaos Orb,0.03,High,3.19,Yes,No
Hardcore Kalandra,2022-08-25,Blacksmith's Whetstone,Chaos Orb,0.03034,High,3.19,Yes,No
Hardcore Kalandra,2022-08-26,Blacksmith's Whetstone,Chaos Orb,0.02634,High,3.19,Yes,No
Hardcore Kalandra,2022-08-27,Blacksmith's Whetstone,Chaos Orb,0.025,High,3.19,Yes,No
Hardcore Kalandra,2022-08-28,Blacksmith's Whetstone,Chaos Orb,0.025,High,3.19,Yes,No
Hardcore Kalandra,2022-08-29,Blacksmith's Whetstone,Chaos Orb,0.02491,High,3.19,Yes,No
Hardcore Kalandra,2022-08-30,Blacksmith's Whetstone,Chaos Orb,0.02491,High,3.19,Yes,No
Hardcore Kalandra,2022-08-31,Blacksmith's Whetstone,Chaos Orb,0.02433,High,3.19,Yes,No
Hardcore Kalandra,2022-09-01,Blacksmith's Whetstone,Chaos Orb,0.01976,High,3.19,Yes,No
Hardcore Kalandra,2022-09-02,Blacksmith's Whetstone,Chaos Orb,0.01968,High,3.19,Yes,No
Hardcore Kalandra,2022-09-03,Blacksmith's Whetstone,Chaos Orb,0.01929,High,3.19,Yes,No
Hardcore Kalandra,2022-09-04,Blacksmith's Whetstone,Chaos Orb,0.01913,High,3.19,Yes,No
Hardcore Kalandra,2022-09-05,Blacksmith's Whetstone,Chaos Orb,0.01976,High,3.19,Yes,No
Hardcore Kalandra,2022-09-06,Blacksmith's Whetstone,Chaos Orb,0.01984,High,3.19,Yes,No
Hardcore Kalandra,2022-09-07,Blacksmith's Whetstone,Chaos Orb,0.01981,High,3.19,Yes,No
Hardcore Kalandra,2022-09-08,Blacksmith's Whetstone,Chaos Orb,0.01961,High,3.19,Yes,No
Hardcore Kalandra,2022-09-09,Blacksmith's Whetstone,Chaos Orb,0.01887,High,3.19,Yes,No
Hardcore Kalandra,2022-09-10,Blacksmith's Whetstone,Chaos Orb,0.01634,High,3.19,Yes,No
Hardcore Kalandra,2022-09-11,Blacksmith's Whetstone,Chaos Orb,0.01629,High,3.19,Yes,No
Hardcore Kalandra,2022-09-12,Blacksmith's Whetstone,Chaos Orb,0.01611,High,3.19,Yes,No
Hardcore Kalandra,2022-09-13,Blacksmith's Whetstone,Chaos Orb,0.01565,High,3.19,Yes,No
Hardcore Kalandra,2022-09-14,Blacksmith's Whetstone,Chaos Orb,0.01557,Medium,3.19,Yes,No
Hardcore Kalandra,2022-09-15,Blacksmith's Whetstone,Chaos Orb,0.01507,Medium,3.19,Yes,No
Hardcore Kalandra,2022-09-16,Blacksmith's Whetstone,Chaos Orb,0.01406,Medium,3.19,Yes,No
Hardcore Kalandra,2022-09-17,Blacksmith's Whetstone,Chaos Orb,0.00997,Medium,3.19,Yes,No
Hardcore Kalandra,2022-09-18,Blacksmith's Whetstone,Chaos Orb,0.01318,Medium,3.19,Yes,No
Hardcore Kalandra,2022-09-19,Blacksmith's Whetstone,Chaos Orb,0.01446,High,3.19,Yes,No
Hardcore Kalandra,2022-09-20,Blacksmith's Whetstone,Chaos Orb,0.01538,High,3.19,Yes,No
Hardcore Kalandra,2022-09-21,Blacksmith's Whetstone,Chaos Orb,0.01524,Medium,3.19,Yes,No
Hardcore Kalandra,2022-09-22,Blacksmith's Whetstone,Chaos Orb,0.01384,Medium,3.19,Yes,No
Hardcore Kalandra,2022-09-23,Blacksmith's Whetstone,Chaos Orb,0.01107,High,3.19,Yes,No
Hardcore Kalandra,2022-09-24,Blacksmith's Whetstone,Chaos Orb,0.01084,High,3.19,Yes,No
Hardcore Kalandra,2022-09-25,Blacksmith's Whetstone,Chaos Orb,0.00996,High,3.19,Yes,No
Hardcore Kalandra,2022-09-26,Blacksmith's Whetstone,Chaos Orb,0.01006,High,3.19,Yes,No
Hardcore Kalandra,2022-09-27,Blacksmith's Whetstone,Chaos Orb,0.011,High,3.19,Yes,No
Hardcore Kalandra,2022-09-28,Blacksmith's Whetstone,Chaos Orb,0.00991,High,3.19,Yes,No
Hardcore Kalandra,2022-09-29,Blacksmith's Whetstone,Chaos Orb,0.00856,High,3.19,Yes,No
Hardcore Kalandra,2022-09-30,Blacksmith's Whetstone,Chaos Orb,0.00542,High,3.19,Yes,No
Hardcore Kalandra,2022-10-01,Blacksmith's Whetstone,Chaos Orb,0.00531,High,3.19,Yes,No
Hardcore Kalandra,2022-10-02,Blacksmith's Whetstone,Chaos Orb,0.00703,High,3.19,Yes,No
Hardcore Kalandra,2022-10-03,Blacksmith's Whetstone,Chaos Orb,0.00671,High,3.19,Yes,No
Hardcore Kalandra,2022-10-04,Blacksmith's Whetstone,Chaos Orb,0.00679,High,3.19,Yes,No
Hardcore Kalandra,2022-10-05,Blacksmith's Whetstone,Chaos Orb,0.00662,High,3.19,Yes,No
Hardcore Kalandra,2022-10-06,Blacksmith's Whetstone,Chaos Orb,0.01296,High,3.19,Yes,No
Hardcore Kalandra,2022-10-07,Blacksmith's Whetstone,Chaos Orb,0.01277,High,3.19,Yes,No
Hardcore Kalandra,2022-10-08,Blacksmith's Whetstone,Chaos Orb,0.00943,High,3.19,Yes,No
Hardcore Kalandra,2022-10-09,Blacksmith's Whetstone,Chaos Orb,0.01407,Medium,3.19,Yes,No
Hardcore Kalandra,2022-10-10,Blacksmith's Whetstone,Chaos Orb,0.01532,Medium,3.19,Yes,No
Hardcore Kalandra,2022-10-11,Blacksmith's Whetstone,Chaos Orb,0.01531,Medium,3.19,Yes,No
Hardcore Kalandra,2022-10-12,Blacksmith's Whetstone,Chaos Orb,0.01538,Low,3.19,Yes,No
Hardcore Kalandra,2022-10-13,Blacksmith's Whetstone,Chaos Orb,0.01538,Low,3.19,Yes,No
Hardcore Kalandra,2022-10-14,Blacksmith's Whetstone,Chaos Orb,0.01677,Low,3.19,Yes,No
Hardcore Kalandra,2022-10-15,Blacksmith's Whetstone,Chaos Orb,0.01677,Low,3.19,Yes,No
Hardcore Kalandra,2022-10-16,Blacksmith's Whetstone,Chaos Orb,0.01806,Low,3.19,Yes,No
