League,Date,Get,Pay,Value,Confidence,Patch,Hardcore,Standard
Kalandra,2022-08-19,Scroll of Wisdom,Chaos Orb,0.94719,High,3.19,No,No
Kalandra,2022-08-20,Scroll of Wisdom,Chaos Orb,0.01667,High,3.19,No,No
Kalandra,2022-08-21,Scroll of Wisdom,Chaos Orb,0.01206,High,3.19,No,No
Kalandra,2022-08-22,Scroll of Wisdom,Chaos Orb,0.00833,High,3.19,No,No
Kalandra,2022-08-23,Scroll of Wisdom,Chaos Orb,0.00816,High,3.19,No,No
Kalandra,2022-08-24,Scroll of Wisdom,Chaos Orb,0.00772,High,3.19,No,No
Kalandra,2022-08-25,Scroll of Wisdom,Chaos Orb,0.00714,High,3.19,No,No
Kalandra,2022-08-26,Scroll of Wisdom,Chaos Orb,0.00714,High,3.19,No,No
Kalandra,2022-08-27,Scroll of Wisdom,Chaos Orb,0.00713,High,3.19,No,No
Kalandra,2022-08-28,Scroll of Wisdom,Chaos Orb,0.00714,High,3.19,No,No
Kalandra,2022-08-29,Scroll of Wisdom,Chaos Orb,0.00714,High,3.19,No,No
Kalandra,2022-08-30,Scroll of Wisdom,Chaos Orb,0.00714,High,3.19,No,No
Kalandra,2022-08-31,Scroll of Wisdom,Chaos Orb,0.00714,High,3.19,No,No
Kalandra,2022-09-01,Scroll of Wisdom,Chaos Orb,0.00714,High,3.19,No,No
Kalandra,2022-09-02,Scroll of Wisdom,Chaos Orb,0.00714,High,3.19,No,No
Kalandra,2022-09-03,Scroll of Wisdom,Chaos Orb,0.00714,High,3.19,No,No
Kalandra,2022-09-04,Scroll of Wisdom,Chaos Orb,0.00713,High,3.19,No,No
Kalandra,2022-09-05,Scroll of Wisdom,Chaos Orb,0.00713,High,3.19,No,No
Kalandra,2022-09-06,Scroll of Wisdom,Chaos Orb,0.00689,High,3.19,No,No
Kalandra,2022-09-07,Scroll of Wisdom,Chaos Orb,0.00711,High,3.19,No,No
Kalandra,2022-09-08,Scroll of Wisdom,Chaos Orb,0.00666,High,3.19,No,No
Kalandra,2022-09-09,Scroll of Wisdom,Chaos Orb,0.00674,High,3.19,No,No
Kalandra,2022-09-10,Scroll of Wisdom,Chaos Orb,0.00667,High,3.19,No,No
Kalandra,2022-09-11,Scroll of Wisdom,Chaos Orb,0.00673,High,3.19,No,No
Kalandra,2022-09-12,Scroll of Wisdom,Chaos Orb,0.00667,High,3.19,No,No
Kalandra,2022-09-13,Scroll of Wisdom,Chaos Orb,0.00664,High,3.19,No,No
Kalandra,2022-09-14,Scroll of Wisdom,Chaos Orb,0.00664,High,3.19,No,No
Kalandra,2022-09-15,Scroll of Wisdom,Chaos Orb,0.00667,High,3.19,No,No
Kalandra,2022-09-16,Scroll of Wisdom,Chaos Orb,0.00675,High,3.19,No,No
Kalandra,2022-09-17,Scroll of Wisdom,Chaos Orb,0.00667,High,3.19,No,No
Kalandra,2022-09-18,Scroll of Wisdom,Chaos Orb,0.00667,High,3.19,No,No
Kalandra,2022-09-19,Scroll of Wisdom,Chaos Orb,0.00666,High,3.19,No,No
Kalandra,2022-09-20,Scroll of Wisdom,Chaos Orb,0.00665,High,3.19,No,No
Kalandra,2022-09-21,Scroll of Wisdom,Chaos Orb,0.00689,High,3.19,No,No
Kalandra,2022-09-22,Scroll of Wisdom,Chaos Orb,0.00667,High,3.19,No,No
Kalandra,2022-09-23,Scroll of Wisdom,Chaos Orb,0.00667,High,3.19,No,No
Kalandra,2022-09-24,Scroll of Wisdom,Chaos Orb,0.00667,High,3.19,No,No
Kalandra,2022-09-25,Scroll of Wisdom,Chaos Orb,0.00667,High,3.19,No,No
Kalandra,2022-09-26,Scroll of Wisdom,Chaos Orb,0.00664,High,3.19,No,No
Kalandra,2022-09-27,Scroll of Wisdom,Chaos Orb,0.00667,High,3.19,No,No
Kalandra,2022-09-28,Scroll of Wisdom,Chaos Orb,0.00664,High,3.19,No,No
Kalandra,2022-09-29,Scroll of Wisdom,Chaos Orb,0.00667,High,3.19,No,No
Kalandra,2022-09-30,Scroll of Wisdom,Chaos Orb,0.00667,High,3.19,No,No
Kalandra,2022-10-01,Scroll of Wisdom,Chaos Orb,0.00667,High,3.19,No,No
Kalandra,2022-10-02,Scroll of Wisdom,Chaos Orb,0.00708,High,3.19,No,No
Kalandra,2022-10-03,Scroll of Wisdom,Chaos Orb,0.00667,High,3.19,No,No
Kalandra,2022-10-04,Scroll of Wisdom,Chaos Orb,0.00667,High,3.19,No,No
Kalandra,2022-10-05,Scroll of Wisdom,Chaos Orb,0.00667,High,3.19,No,No
Kalandra,2022-10-06,Scroll of Wisdom,Chaos Orb,0.00667,High,3.19,No,No
Kalandra,2022-10-07,Scroll of Wisdom,Chaos Orb,0.00667,High,3.19,No,No
Kalandra,2022-10-08,Scroll of Wisdom,Chaos Orb,0.00667,High,3.19,No,No
Kalandra,2022-10-09,Scroll of Wisdom,Chaos Orb,0.00667,High,3.19,No,No
Kalandra,2022-10-10,Scroll of Wisdom,Chaos Orb,0.00706,High,3.19,No,No
Kalandra,2022-10-11,Scroll of Wisdom,Chaos Orb,0.00667,High,3.19,No,No
Kalandra,2022-10-12,Scroll of Wisdom,Chaos Orb,0.00682,High,3.19,No,No
Kalandra,2022-10-13,Scroll of Wisdom,Chaos Orb,0.00667,High,3.19,No,No
Kalandra,2022-10-14,Scroll of Wisdom,Chaos Orb,0.00706,High,3.19,No,No
Kalandra,2022-10-15,Scroll of Wisdom,Chaos Orb,0.00685,High,3.19,No,No
Kalandra,2022-10-16,Scroll of Wisdom,Chaos Orb,0.00679,High,3.19,No,No
Kalandra,2022-10-17,Scroll of Wisdom,Chaos Orb,0.00692,High,3.19,No,No
Kalandra,2022-10-18,Scroll of Wisdom,Chaos Orb,0.00715,High,3.19,No,No
Kalandra,2022-10-19,Scroll of Wisdom,Chaos Orb,0.00703,High,3.19,No,No
Kalandra,2022-10-20,Scroll of Wisdom,Chaos Orb,0.00667,High,3.19,No,No
Kalandra,2022-10-21,Scroll of Wisdom,Chaos Orb,0.00693,High,3.19,No,No
Kalandra,2022-10-22,Scroll of Wisdom,Chaos Orb,0.007,High,3.19,No,No
Kalandra,2022-10-23,Scroll of Wisdom,Chaos Orb,0.00667,High,3.19,No,No
Kalandra,2022-10-24,Scroll of Wisdom,Chaos Orb,0.00665,High,3.19,No,No
Kalandra,2022-10-25,Scroll of Wisdom,Chaos Orb,0.00667,High,3.19,No,No
Kalandra,2022-10-26,Scroll of Wisdom,Chaos Orb,0.00667,High,3.19,No,No
Kalandra,2022-10-27,Scroll of Wisdom,Chaos Orb,0.00666,High,3.19,No,No
Kalandra,2022-10-28,Scroll of Wisdom,Chaos Orb,0.00662,High,3.19,No,No
Kalandra,2022-10-29,Scroll of Wisdom,Chaos Orb,0.00664,High,3.19,No,No
Kalandra,2022-10-30,Scroll of Wisdom,Chaos Orb,0.00666,High,3.19,No,No
Kalandra,2022-10-31,Scroll of Wisdom,Chaos Orb,0.00594,High,3.19,No,No
Kalandra,2022-11-01,Scroll of Wisdom,Chaos Orb,0.00577,High,3.19,No,No
Kalandra,2022-11-02,Scroll of Wisdom,Chaos Orb,0.00665,High,3.19,No,No
Kalandra,2022-11-03,Scroll of Wisdom,Chaos Orb,0.00667,High,3.19,No,No
Kalandra,2022-11-04,Scroll of Wisdom,Chaos Orb,0.00599,High,3.19,No,No
Kalandra,2022-11-05,Scroll of Wisdom,Chaos Orb,0.00617,High,3.19,No,No
Kalandra,2022-11-06,Scroll of Wisdom,Chaos Orb,0.00595,High,3.19,No,No
Kalandra,2022-11-07,Scroll of Wisdom,Chaos Orb,0.00588,High,3.19,No,No
Kalandra,2022-11-08,Scroll of Wisdom,Chaos Orb,0.00622,High,3.19,No,No
Kalandra,2022-11-09,Scroll of Wisdom,Chaos Orb,0.00617,High,3.19,No,No
Kalandra,2022-11-10,Scroll of Wisdom,Chaos Orb,0.00621,High,3.19,No,No
