League,Date,Get,Pay,Value,Confidence,Patch,Hardcore,Standard
Standard,2022-08-19,Exalted Orb,Chaos Orb,60.9199,High,3.19,No,Yes
Standard,2022-08-20,Exalted Orb,Chaos Orb,64.40345,High,3.19,No,Yes
Standard,2022-08-21,Exalted Orb,Chaos Orb,59.18416,High,3.19,No,Yes
Standard,2022-08-22,Exalted Orb,Chaos Orb,57.0,High,3.19,No,Yes
Standard,2022-08-23,Exalted Orb,Chaos Orb,49.99985,High,3.19,No,Yes
Standard,2022-08-24,Exalted Orb,Chaos Orb,39.95432,High,3.19,No,Yes
Standard,2022-08-25,Exalted Orb,Chaos Orb,39.73018,High,3.19,No,Yes
Standard,2022-08-26,Exalted Orb,Chaos Orb,39.9125,High,3.19,No,Yes
Standard,2022-08-27,Exalted Orb,Chaos Orb,38.0,High,3.19,No,Yes
Standard,2022-08-28,Exalted Orb,Chaos Orb,35.0,High,3.19,No,Yes
Standard,2022-08-29,Exalted Orb,Chaos Orb,30.19988,High,3.19,No,Yes
Standard,2022-08-30,Exalted Orb,Chaos Orb,29.46667,High,3.19,No,Yes
Standard,2022-08-31,Exalted Orb,Chaos Orb,29.55891,High,3.19,No,Yes
Standard,2022-09-01,Exalted Orb,Chaos Orb,29.97353,High,3.19,No,Yes
Standard,2022-09-02,Exalted Orb,Chaos Orb,29.0,High,3.19,No,Yes
Standard,2022-09-03,Exalted Orb,Chaos Orb,28.0,High,3.19,No,Yes
Standard,2022-09-04,Exalted Orb,Chaos Orb,28.0,High,3.19,No,Yes
Standard,2022-09-05,Exalted Orb,Chaos Orb,28.0,High,3.19,No,Yes
Standard,2022-09-06,Exalted Orb,Chaos Orb,26.93426,High,3.19,No,Yes
Standard,2022-09-07,Exalted Orb,Chaos Orb,25.0,High,3.19,No,Yes
Standard,2022-09-08,Exalted Orb,Chaos Orb,24.98333,High,3.19,No,Yes
Standard,2022-09-09,Exalted Orb,Chaos Orb,22.71474,High,3.19,No,Yes
Standard,2022-09-10,Exalted Orb,Chaos Orb,22.7576,High,3.19,No,Yes
Standard,2022-09-11,Exalted Orb,Chaos Orb,22.78382,High,3.19,No,Yes
Standard,2022-09-12,Exalted Orb,Chaos Orb,22.53545,High,3.19,No,Yes
Standard,2022-09-13,Exalted Orb,Chaos Orb,22.57472,High,3.19,No,Yes
Standard,2022-09-14,Exalted Orb,Chaos Orb,22.29331,High,3.19,No,Yes
Standard,2022-09-15,Exalted Orb,Chaos Orb,22.56411,High,3.19,No,Yes
Standard,2022-09-16,Exalted Orb,Chaos Orb,22.12927,High,3.19,No,Yes
Standard,2022-09-17,Exalted Orb,Chaos Orb,21.63161,High,3.19,No,Yes
Standard,2022-09-18,Exalted Orb,Chaos Orb,21.5382,High,3.19,No,Yes
Standard,2022-09-19,Exalted Orb,Chaos Orb,21.89712,High,3.19,No,Yes
Standard,2022-09-20,Exalted Orb,Chaos Orb,21.83069,High,3.19,No,Yes
Standard,2022-09-21,Exalted Orb,Chaos Orb,21.97895,High,3.19,No,Yes
Standard,2022-09-22,Exalted Orb,Chaos Orb,22.12225,High,3.19,No,Yes
Standard,2022-09-23,Exalted Orb,Chaos Orb,22.21099,High,3.19,No,Yes
Standard,2022-09-24,Exalted Orb,Chaos Orb,22.24498,High,3.19,No,Yes
Standard,2022-09-25,Exalted Orb,Chaos Orb,22.27224,High,3.19,No,Yes
Standard,2022-09-26,Exalted Orb,Chaos Orb,22.17104,High,3.19,No,Yes
Standard,2022-09-27,Exalted Orb,Chaos Orb,22.27155,High,3.19,No,Yes
Standard,2022-09-28,Exalted Orb,Chaos Orb,22.1433,High,3.19,No,Yes
Standard,2022-09-29,Exalted Orb,Chaos Orb,22.13884,High,3.19,No,Yes
Standard,2022-09-30,Exalted Orb,Chaos Orb,22.1433,High,3.19,No,Yes
Standard,2022-10-01,Exalted Orb,Chaos Orb,21.96466,High,3.19,No,Yes
Standard,2022-10-02,Exalted Orb,Chaos Orb,22.05435,High,3.19,No,Yes
Standard,2022-10-03,Exalted Orb,Chaos Orb,22.06783,High,3.19,No,Yes
Standard,2022-10-04,Exalted Orb,Chaos Orb,22.01912,High,3.19,No,Yes
Standard,2022-10-05,Exalted Orb,Chaos Orb,22.05376,High,3.19,No,Yes
Standard,2022-10-06,Exalted Orb,Chaos Orb,22.03982,High,3.19,No,Yes
Standard,2022-10-07,Exalted Orb,Chaos Orb,22.05368,High,3.19,No,Yes
Standard,2022-10-08,Exalted Orb,Chaos Orb,22.04806,High,3.19,No,Yes
Standard,2022-10-09,Exalted Orb,Chaos Orb,22.0429,High,3.19,No,Yes
Standard,2022-10-10,Exalted Orb,Chaos Orb,22.07345,High,3.19,No,Yes
Standard,2022-10-11,Exalted Orb,Chaos Orb,22.02391,High,3.19,No,Yes
Standard,2022-10-12,Exalted Orb,Chaos Orb,22.02597,High,3.19,No,Yes
Standard,2022-10-13,Exalted Orb,Chaos Orb,22.02604,High,3.19,No,Yes
Standard,2022-10-14,Exalted Orb,Chaos Orb,22.04198,High,3.19,No,Yes
Standard,2022-10-15,Exalted Orb,Chaos Orb,22.02919,High,3.19,No,Yes
Standard,2022-10-16,Exalted Orb,Chaos Orb,22.1433,High,3.19,No,Yes
Standard,2022-10-17,Exalted Orb,Chaos Orb,22.09568,High,3.19,No,Yes
Standard,2022-10-18,Exalted Orb,Chaos Orb,22.05282,High,3.19,No,Yes
Standard,2022-10-19,Exalted Orb,Chaos Orb,22.0024,High,3.19,No,Yes
Standard,2022-10-20,Exalted Orb,Chaos Orb,22.00009,High,3.19,No,Yes
Standard,2022-10-21,Exalted Orb,Chaos Orb,22.00044,High,3.19,No,Yes
Standard,2022-10-22,Exalted Orb,Chaos Orb,22.0094,High,3.19,No,Yes
Standard,2022-10-23,Exalted Orb,Chaos Orb,22.00035,High,3.19,No,Yes
Standard,2022-10-24,Exalted Orb,Chaos Orb,21.64717,High,3.19,No,Yes
Standard,2022-10-25,Exalted Orb,Chaos Orb,22.03219,High,3.19,No,Yes
Standard,2022-10-26,Exalted Orb,Chaos Orb,22.00044,High,3.19,No,Yes
Standard,2022-10-27,Exalted Orb,Chaos Orb,22.02822,High,3.19,No,Yes
Standard,2022-10-28,Exalted Orb,Chaos Orb,22.00043,High,3.19,No,Yes
Standard,2022-10-29,Exalted Orb,Chaos Orb,21.68382,High,3.19,No,Yes
Standard,2022-10-30,Exalted Orb,Chaos Orb,21.97601,High,3.19,No,Yes
Standard,2022-10-31,Exalted Orb,Chaos Orb,21.70986,High,3.19,No,Yes
Standard,2022-11-01,Exalted Orb,Chaos Orb,21.32441,High,3.19,No,Yes
Standard,2022-11-02,Exalted Orb,Chaos Orb,21.76863,High,3.19,No,Yes
Standard,2022-11-03,Exalted Orb,Chaos Orb,21.87049,High,3.19,No,Yes
Standard,2022-11-04,Exalted Orb,Chaos Orb,21.96076,High,3.19,No,Yes
Standard,2022-11-05,Exalted Orb,Chaos Orb,22.00017,High,3.19,No,Yes
Standard,2022-11-06,Exalted Orb,Chaos Orb,22.00301,High,3.19,No,Yes
Standard,2022-11-07,Exalted Orb,Chaos Orb,22.00044,High,3.19,No,Yes
Standard,2022-11-08,Exalted Orb,Chaos Orb,22.00041,High,3.19,No,Yes
Standard,2022-11-09,Exalted Orb,Chaos Orb,22.02059,High,3.19,No,Yes
Standard,2022-11-10,Exalted Orb,Chaos Orb,22.02547,High,3.19,No,Yes
Standard,2022-11-11,Exalted Orb,Chaos Orb,22.0447,High,3.19,No,Yes
Standard,2022-11-12,Exalted Orb,Chaos Orb,22.00044,High,3.19,No,Yes
Standard,2022-11-13,Exalted Orb,Chaos Orb,22.02494,High,3.19,No,Yes
Standard,2022-11-14,Exalted Orb,Chaos Orb,21.9052,High,3.19,No,Yes
Standard,2022-11-15,Exalted Orb,Chaos Orb,21.64669,High,3.19,No,Yes
Standard,2022-11-16,Exalted Orb,Chaos Orb,22.08728,High,3.19,No,Yes
Standard,2022-11-17,Exalted Orb,Chaos Orb,22.09833,High,3.19,No,Yes
Standard,2022-11-18,Exalted Orb,Chaos Orb,22.14329,High,3.19,No,Yes
Standard,2022-11-19,Exalted Orb,Chaos Orb,22.07635,High,3.19,No,Yes
Standard,2022-11-20,Exalted Orb,Chaos Orb,22.1433,High,3.19,No,Yes
Standard,2022-11-21,Exalted Orb,Chaos Orb,22.14329,High,3.19,No,Yes
Standard,2022-11-22,Exalted Orb,Chaos Orb,22.33091,High,3.19,No,Yes
Standard,2022-11-23,Exalted Orb,Chaos Orb,22.30087,High,3.19,No,Yes
Standard,2022-11-24,Exalted Orb,Chaos Orb,22.14329,High,3.19,No,Yes
Standard,2022-11-25,Exalted Orb,Chaos Orb,22.00044,High,3.19,No,Yes
